,artistName,trackName,plays_count,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Kanye West,Saint Pablo,38,0.461,0.772,-3.98,0.375,0.282,0.0,0.178,0.414,167.018
1,Kanye West,Saint Pablo,38,0.461,0.772,-3.98,0.375,0.282,0.0,0.178,0.414,167.018
2,ROSALÍA,CANDY,35,0.638,0.49,-5.726,0.226,0.885,0.0116,0.156,0.403,179.905
3,ROSALÍA,CANDY,35,0.638,0.49,-5.726,0.226,0.885,0.0116,0.156,0.403,179.905
4,070 Shake,Skin and Bones,34,0.613,0.633,-6.494,0.0292,0.0439,0.0,0.0839,0.334,115.98
5,070 Shake,Skin and Bones,34,0.613,0.633,-6.494,0.0292,0.0439,0.0,0.0839,0.334,115.98
6,ROSALÍA,SAOKO,32,0.835,0.772,-5.711,0.247,0.793,2.01e-05,0.515,0.683,100.034
7,ROSALÍA,SAOKO,32,0.835,0.772,-5.711,0.247,0.793,2.01e-05,0.515,0.683,100.034
8,Harry Styles,As It Was,31,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93
9,Harry Styles,As It Was,31,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93
10,Yung Lean,Trip,28,0.531,0.906,-6.437,0.0376,0.000922,0.406,0.198,0.512,174.006
11,Yung Lean,Trip,28,0.531,0.906,-6.437,0.0376,0.000922,0.406,0.198,0.512,174.006
12,Yves Tumor,Secrecy Is Incredibly Important To The Both of Them,28,0.369,0.923,-6.591,0.0445,4.1e-06,0.878,0.393,0.64,168.003
13,Yves Tumor,Secrecy Is Incredibly Important To The Both of Them,28,0.369,0.923,-6.591,0.0445,4.1e-06,0.878,0.393,0.64,168.003
14,TONFA,MAM KOLEGĘ Z SIUSIAKIEM NA TACZCE,27,0.608,0.885,-3.335,0.318,0.297,0.0,0.248,0.627,152.159
15,TONFA,MAM KOLEGĘ Z SIUSIAKIEM NA TACZCE,27,0.608,0.885,-3.335,0.318,0.297,0.0,0.248,0.627,152.159
16,Steve Lacy,Bad Habit,27,0.686,0.494,-7.093,0.0355,0.613,5.8e-05,0.402,0.7,168.946
17,Steve Lacy,Bad Habit,27,0.686,0.494,-7.093,0.0355,0.613,5.8e-05,0.402,0.7,168.946
18,"Tyler, The Creator",SIR BAUDELAIRE (feat. DJ Drama),27,0.467,0.635,-6.115,0.154,0.314,4.16e-06,0.844,0.51,127.596
19,"Tyler, The Creator",SIR BAUDELAIRE (feat. DJ Drama),27,0.467,0.635,-6.115,0.154,0.314,4.16e-06,0.844,0.51,127.596
20,Earl Sweatshirt,Old Friend,27,0.529,0.526,-8.848,0.113,0.0825,0.0,0.503,0.11,78.039
21,Earl Sweatshirt,Old Friend,27,0.529,0.526,-8.848,0.113,0.0825,0.0,0.503,0.11,78.039
22,070 Shake,Morrow,26,0.742,0.663,-6.944,0.0354,0.0488,0.0192,0.144,0.161,100.04
23,070 Shake,Morrow,26,0.742,0.663,-6.944,0.0354,0.0488,0.0192,0.144,0.161,100.04
