,artist,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album,track_id
0,Sufjan Stevens,Back To Oz,0.438,0.408,-10.461,0.0314,0.528,0.00118,0.131,0.441,170.068,A Beginner's Mind,6s0F09N7jp4wSqN8vVgMQR
1,black midi,Diamond Stuff,0.467,0.193,-14.987,0.0274,0.287,0.926,0.146,0.105,134.984,Cavalcade,1oqeQqO2AWG0uyPZbGlqXt
2,black midi,Dethroned,0.343,0.702,-8.605,0.0712,0.13,0.549,0.64,0.232,144.909,Cavalcade,2tk6DxeaWPqjidof2LtGcL
3,Sufjan Stevens,Lady Macbeth In Chains,0.385,0.363,-13.346,0.0526,0.912,0.000734,0.0872,0.134,204.157,A Beginner's Mind,0W2a7Ga9auLPDDPQp11iDO
4,Dean Blunt,WOOSAH,0.418,0.302,-13.929,0.0305,0.544,0.869,0.104,0.16,147.895,BLACK METAL 2,5eKOyf0i14QZHCD6mbwkej
5,Dean Blunt,the rot,0.337,0.78,-8.244,0.0784,0.296,0.281,0.117,0.472,104.619,BLACK METAL 2,3ESXgEbWaaoCJcHkiG6yF1
6,BADBADNOTGOOD,Key to Love (Is Understanding) feat. Jonah Yano,0.546,0.398,-9.225,0.0288,0.399,0.0262,0.11,0.442,127.307,Key to Love (Is Understanding),3ZOKwVcjcHVNqnOABO0pUA
7,Nu Genea,Ddoje Facce,0.9,0.455,-8.395,0.0877,0.231,0.264,0.0538,0.927,104.631,Nuova Napoli,2eugKq2QsQ3TRJ4JgbdpzC
8,Outkast,Aquemini,0.707,0.661,-5.711,0.39,0.245,0.0,0.176,0.157,89.197,Aquemini,4V3N5LvUOh3yDPP16cwAhE
9,Smokey Robinson,The Agony And The Ecstasy,0.495,0.361,-10.841,0.0341,0.681,5.06e-05,0.12,0.425,139.156,A Quiet Storm,5tJtbMylDCdtsQf4R02qer
10,Floating Points,Falaise,0.356,0.401,-14.475,0.0467,0.434,0.789,0.176,0.0397,142.945,Crush,3rkJH9BaiCWpRY718WTkBP
11,Outkast,Chonkyfire,0.595,0.675,-8.817,0.465,0.0617,0.0,0.1,0.358,90.966,Aquemini,4mrR64jwacrmiZluhBelDB
12,David Guetta,Who's That Chick? (feat. Rihanna),0.675,0.602,-4.733,0.116,0.00377,0.0,0.0458,0.933,127.938,One More Love,6qUSs4FDzZUdAhY6JDIJfa
13,Kendrick Lamar,untitled 08 | 09.06.2014.,0.85,0.524,-9.375,0.204,0.25,2.46e-06,0.114,0.686,120.004,untitled unmastered.,5bBUDJUfGcG7eFy3Bf4fXv
14,The Avalanches,Because I'm Me,0.427,0.79,-6.203,0.0953,0.0542,0.0169,0.324,0.537,94.824,Wildflower,4BpN2xkpSEA9L95yopkjsX
15,Injury Reserve,Knees,0.398,0.551,-11.852,0.202,0.0611,1.34e-05,0.117,0.327,83.1,By the Time I Get to Phoenix,4XoN5kQ4eIRPwCqMQ3U6iN
16,The Lumineers,My Eyes,0.435,0.309,-8.337,0.0309,0.852,2.63e-05,0.113,0.0831,93.871,Cleopatra,152gojU2OybLt7D4mOdpSJ
