,endTime,artistName,trackName,sec_played
0,2021-09-30 16:45,Arcade Fire,Supersymmetry,80.88
1,2021-10-01 11:49,Kizo,UTWÓR Z OKAZJI DWÓCH MILIONÓW NA SPOTIFY - Kizo Remix,37.184
2,2021-10-01 11:54,JAY-Z,Caught Their Eyes,206.133
3,2021-10-01 11:57,Travis Scott,sdp interlude,191.622
4,2021-10-01 11:59,Genesis Owusu,Waitin' on Ya,97.408
5,2021-10-01 12:03,Resavoir,Plantasy,260.026
6,2021-10-01 12:07,Beach House,Master of None,199.413
7,2021-10-01 12:11,Lana Del Rey,Dark But Just A Game,235.664
8,2021-10-01 12:13,Jadasea,days,160.436
9,2021-10-01 12:19,The Voidz,Pink Ocean,326.706
10,2021-10-01 12:22,Freddie Gibbs,Shame (feat. BJ The Chicago Kid),183.32
11,2021-10-01 12:24,Blu & Exile,Blue,138.271
12,2021-10-01 12:27,Fana Hues,Icarus,150.182
13,2021-10-01 12:28,Marc Rebillet,Surviving,79.715
14,2021-10-01 12:30,Oberhofer,Just When You Need Yourself Most,97.496
15,2021-10-01 15:21,GAIKA,Spectacular Anthem,4.481
16,2021-10-01 15:21,Arthur Russell,Answers Me,95.061
17,2021-10-01 15:25,River Tiber,Hypnotized,249.563
18,2021-10-01 15:27,Faye Webster,Jonny,25.843
19,2021-10-01 15:27,Whitearmor,Frutta E Verdura,85.441
20,2021-10-01 15:30,Seb Wildblood,Take Your Time (feat. Deem Spencer),169.0
21,2021-10-01 15:33,Kelsey Lu,let all the poisons that lurk in the mud seep out - Actress Remix,158.203
22,2021-10-01 15:35,Terry Riley,Francesco en Paraiso,130.867
23,2021-10-01 15:35,KayCyy,No Luck,1.253
24,2021-10-01 15:35,Wiki,Never Know,7.709
25,2021-10-01 15:35,Memo Boy,Brian is the Most Beautiful,0.812
26,2021-10-01 15:37,ZekeUltra,Carry Me Home,132.0
27,2021-10-01 15:40,So!YoON!,A/DC= (feat. Mid-Air Thief),169.124
28,2021-10-01 15:41,Död Mark,Min Dag,24.695
29,2021-10-01 15:42,Philip Glass,"String Quartet no. 2 ""Company"": II.",106.213
30,2021-10-01 18:08,Father's Children,Who's Gonna Save The World,105.215
31,2021-10-01 18:30,Mata,IKEA (intro),142.92
32,2021-10-01 18:31,Mata,Blok (skit),32.213
33,2021-10-01 18:36,Mata,Blok,225.36
34,2021-10-01 18:39,SKUTE BOBO,SKUTE BOBO,188.573
35,2021-10-01 18:42,Mata,La La La (Oh Oh),168.386
36,2021-10-01 18:45,Mata,Nasza klasa ale to DRILL,223.906
37,2021-10-01 18:48,Mata,2001,177.933
38,2021-10-01 18:49,Mata,WE DON’T KNOW WHO DID THIS BEAT IF IT’S YOU PLEASE DM US WE HAVE MONEY (skit),17.146
39,2021-10-01 18:51,Mata,Szmata,3.25
40,2021-10-01 18:51,Mata,Faka,125.44
41,2021-10-01 18:55,Mata,Kurtz,255.72
42,2021-10-01 19:00,Mata,67-410,311.0
43,2021-10-01 19:01,Mata,Skit (skit),34.02
44,2021-10-01 19:03,Mata,"15,2 (FREESTYLE)",146.963
45,2021-10-01 19:04,Mata,Kiss cam,5.466
46,2021-10-01 19:04,Mata,Papuga,0.88
47,2021-10-01 19:04,Mata,Dzwoni papuga (skit),10.613
48,2021-10-01 19:04,Mata,Patoreakcja,5.636
49,2021-10-01 19:07,Mata,Bros before hoes (skit),13.12
50,2021-10-01 19:07,Mata,Szafir,196.6
51,2021-10-01 19:12,Mata,Blok,3.21
52,2021-10-01 19:12,Mata,Młody Bachor (outro),255.01
53,2021-10-01 19:12,SKUTE BOBO,SKUTE BOBO,4.47
54,2021-10-01 19:32,Mata,2001,49.31
55,2021-10-01 19:36,Męskie Granie Orkiestra 2018,"Wyspa, drzewo, zamek - Live",259.91
56,2021-10-01 19:39,JAY-Z,Caught Their Eyes,206.133
57,2021-10-01 19:43,Travis Scott,sdp interlude,191.622
58,2021-10-01 19:47,Resavoir,Plantasy,260.026
59,2021-10-01 19:51,Lana Del Rey,Dark But Just A Game,235.664
60,2021-10-01 19:54,Freddie Gibbs,Shame (feat. BJ The Chicago Kid),183.32
61,2021-10-01 19:56,Arthur Russell,Answers Me,130.64
62,2021-10-01 19:59,Whole Truth,Can You Lose By Following God,2.96
63,2021-10-01 19:59,Father's Children,Who's Gonna Save The World,170.312
64,2021-10-01 20:03,St. Vincent,The Melting Of The Sun,257.52
65,2021-10-01 20:07,Pond,Paint Me Silver,224.973
66,2021-10-01 20:12,Current Joys,Kids,269.142
67,2021-10-01 20:13,PinkPantheress,Break It Off,95.317
68,2021-10-01 22:45,Clairo,Amoeba,98.176
69,2021-10-02 09:52,Clairo,Amoeba,130.981
70,2021-10-02 09:55,Little Simz,Flowers,225.255
71,2021-10-02 09:58,Kanye West,No Child Left Behind,178.061
72,2021-10-02 10:04,Kanye West,Come to Life,310.393
73,2021-10-02 10:06,Kanye West,Heaven and Hell,145.301
74,2021-10-02 10:37,Kanye West,Hurricane,135.736
75,2021-10-03 19:16,Father's Children,Who's Gonna Save The World,21.873
76,2021-10-03 19:19,SKUTE BOBO,SKUTE BOBO,188.573
77,2021-10-03 19:21,Mata,La La La (Oh Oh),110.313
78,2021-10-03 19:25,Mata,Nasza klasa ale to DRILL,223.906
79,2021-10-03 19:28,Mata,2001,177.933
80,2021-10-03 19:28,Mata,WE DON’T KNOW WHO DID THIS BEAT IF IT’S YOU PLEASE DM US WE HAVE MONEY (skit),7.574
81,2021-10-03 19:30,Mata,IKEA (intro),142.92
82,2021-10-03 19:31,Mata,Blok (skit),32.213
83,2021-10-03 19:33,Mata,Blok,88.297
84,2021-10-03 19:41,Fisz Emade Tworzywo,Za Mało Czasu,14.349
85,2021-10-03 19:41,Fisz Emade Tworzywo,Za Mało Czasu,0.72
86,2021-10-03 19:41,Fisz Emade Tworzywo,Za Mało Czasu,241.441
87,2021-10-03 19:44,THE ANXIETY,Meet Me At Our Spot,149.095
88,2021-10-03 19:50,Little Simz,Introvert,362.653
89,2021-10-03 19:54,Little Simz,Woman,269.413
90,2021-10-03 19:57,Little Simz,Two Worlds Apart,178.066
91,2021-10-03 20:01,Little Simz,"I Love You, I Hate You",255.693
92,2021-10-03 20:02,Little Simz,"Little Q, Pt. 1 - Interlude",68.413
93,2021-10-03 20:06,Little Simz,"Little Q, Pt. 2",226.453
94,2021-10-03 20:09,Little Simz,Gems - Interlude,177.093
95,2021-10-04 06:24,Kanye West,Good Morning,0.64
96,2021-10-04 06:24,Little Simz,Speed,35.504
97,2021-10-04 12:46,Mata,Nasza klasa ale to DRILL,5.75
98,2021-10-04 12:48,Mata,Blok (skit),18.93
99,2021-10-04 12:48,Mata,IKEA (intro),142.92
100,2021-10-04 12:52,Mata,Nasza klasa ale to DRILL,220.39
101,2021-10-04 13:21,THE ANXIETY,Hey You!,145.853
102,2021-10-04 13:23,THE ANXIETY,Fight Club,144.386
103,2021-10-04 13:26,THE ANXIETY,Believe That,173.253
104,2021-10-04 13:30,THE ANXIETY,Poolside,224.026
105,2021-10-04 13:30,THE ANXIETY,Interlude,7.68
106,2021-10-04 14:54,Kevin Abstract,SIERRA NIGHTS (feat. Ryan Beatty),263.72
107,2021-10-04 14:56,A$AP Rocky,Jukebox Joints (feat. Joe Fox & Kanye West),59.16
